,date,VTI_adjclose,AGG_adjclose,SP_adjclose
526,20060203,47.07434845,62.21112823,1264.030029
527,20060206,47.18641663,62.19875717,1265.02002
528,20060207,46.72698212,62.15525436,1254.780029
529,20060208,47.06315613,62.12427902,1265.650024
530,20060209,46.97352219,62.16147232,1263.780029
531,20060210,47.07062149,62.03117371,1266.98999
532,20060213,46.85771179,62.07461166,1262.859985
533,20060214,47.3021965,61.97529221,1275.530029
534,20060215,47.48150253,62.04359055,1280
535,20060216,47.85126495,61.98152161,1289.380005
536,20060217,47.79525757,62.23596954,1287.23999
537,20060221,47.66077042,62.00634384,1283.030029
538,20060222,48.03429794,62.2545929,1292.670044
539,20060223,47.91476822,62.21739197,1287.790039
540,20060224,47.98948669,62.26705933,1289.430054
541,20060227,48.12768173,62.13661575,1294.119995
542,20060228,47.65332031,62.26705933,1280.660034
543,20060301,48.07166672,62.26884079,1291.23999
544,20060302,48.03803253,62.11313248,1289.140015
545,20060303,47.9595871,61.98853302,1287.22998
546,20060306,47.60848999,61.64582825,1278.26001
547,20060307,47.41425705,61.80159378,1275.880005
548,20060308,47.54872894,61.83280945,1278.469971
549,20060309,47.29475021,61.75181198,1272.22998
550,20060310,47.66452408,61.77669525,1281.420044
551,20060313,47.78030777,61.88881302,1284.130005
552,20060314,48.27334595,62.09440994,1297.47998
553,20060315,48.48999023,61.92625046,1303.02002
554,20060316,48.59457397,62.18793106,1305.329956
555,20060317,48.63193893,62.05081558,1307.25
556,20060320,48.52917862,62.02588654,1305.079956
557,20060321,48.25915146,61.86390686,1297.22998
558,20060322,48.55167389,61.97600174,1305.040039
559,20060323,48.54040909,61.92625046,1301.670044
560,20060324,48.6041832,62.03213882,1302.949951
561,20060327,48.57042313,62.08199692,1301.609985
562,20060328,48.28539658,61.92625046,1293.22998
563,20060329,48.73543549,61.80159378,1302.890015
564,20060330,48.6041832,61.52124023,1300.25
565,20060331,48.6304245,61.72687912,1294.869995
566,20060403,48.57792282,61.6662178,1297.810059
567,20060404,48.85920715,61.74744415,1305.930054
568,20060405,49.03919983,61.79126358,1311.560059
569,20060406,49.01670837,61.74126434,1309.040039
570,20060407,48.49168396,61.53486252,1295.5
571,20060410,48.55541611,61.4785614,1296.619995
572,20060411,48.11663055,61.60366821,1286.569946
573,20060412,48.21414185,61.54737091,1288.119995
574,20060413,48.2028923,61.42228699,1289.119995
575,20060417,48.12788391,61.52233887,1285.329956
576,20060418,48.95669556,61.4785614,1307.280029
577,20060419,49.10297012,61.53486252,1309.930054
